city,county,population,land_size,medium_income,per_capita_income,registered_voter,democratic,republican,no_stations,mile,more_than_12,no_v2,no_urban,no_v3,no_v4,total
Thousand Oaks,Ventura,126966,55.26,125399,61458,86466,33220,28429,2,2,2,24,20,0,0,44
Ventura,Ventura,110763,21.89,96036,46562,72672,33447,18717,2,2,0,0,0,60,0,60
Ceres,Stanislaus,49302,9.5,70191,24176,23101,10987,5987,0,0,0,0,0,0,0,0
Hughson,Stanislaus,7481,1.91,99449,40898,4150,1268,1847,0,0,0,0,0,0,0,0
Modesto,Stanislaus,218464,43.05,73375,32897,114956,47477,36743,2,2,0,0,0,20,0,20
Newman,Stanislaus,12351,2.06,76520,29532,5488,2441,1495,0,0,0,0,0,0,0,0
Oakdale,Stanislaus,23181,6.23,83110,36622,13584,3659,6349,0,0,0,0,0,0,0,0
Patterson,Stanislaus,23781,7.79,86031,29091,11539,6010,2307,1,1,0,0,0,8,0,8
Riverbank,Stanislaus,24865,4.71,89504,33398,12714,4991,4094,0,0,0,0,0,0,0,0
Turlock,Stanislaus,72740,16.91,74559,33194,38710,13898,14317,1,1,1,0,0,16,0,16
Waterford,Stanislaus,9120,2.36,64349,23587,4472,1308,1909,0,0,0,0,0,0,0,0
